data,address,win_rate,followers,trades_30d,pnl_30d,pnl_ratio,sol_balance,wallet_age_days,tags,twitter
2026-04-23,GpJDQbew3J5KhSUMYiHCSJ2ZTxZjoDAxGzqNMjLGwLui,0.612,147,490,21802.46,0.134,25.37,369.0,"gmgn,smart_degen",
2026-04-23,43QmFc2QPPGyMrSNuPnhvfs8BFW1XVZYFdbwURtWoo9x,0.561,89,5305,1908.48,0.007,0.99,209.0,"gmgn,smart_degen",
2026-04-23,Dw5VykxuTNQeh8c9TxUPsaM7Rwxkmy74rLr63wB3LG8j,0.692,15,2601,1675.24,0.018,74.25,,smart_degen,
2026-04-23,HSj9VNgBDvvzfSrgnkq6mUi7AbCGfWZHAx2tBkbT4A35,0.356,3,619,1402.33,0.094,0.0,95.0,smart_degen,
2026-04-23,456xjxMrRKcp5odo8B1McWiTbvTUffFi5iCV1Ky9Sft7,0.421,133,2916,44109.75,0.079,38.45,0.0,smart_degen,
2026-04-23,2YhNurep74dpPavgMnrcYkofcm7AUA7xp8nV22qSYSgp,0.588,85,37,1626.84,0.316,10.29,409.0,"axiom,bullx,smart_degen",
2026-04-23,8J6nEUE5LmjYn8aBBBAnGG3wvHbZ2BzQi9CfRszB3AfD,0.485,10,369,1004.7,0.045,9.47,456.0,"axiom,smart_degen",
2026-04-23,5fHJszey2UdB2nETS1y6NS2wSG4ic9byKtbgJzaYzGeV,0.459,739,4830,27223.22,0.07,39.71,422.0,"axiom,bullx,gmgn,smart_degen",
2026-04-23,ARC5JvKVCcnitPgTmmqV9xc1FJUPB43AEWPU1iMdYM7k,0.506,245,4934,32416.54,0.08,42.03,162.0,"axiom,gmgn,padre,smart_degen",
2026-04-23,6Dt9J7TXM3eqyQBAZMbGJCV6VsP13WVStwPJnLPFtw2Y,0.632,114,1351,13389.13,0.083,33.33,183.0,"gmgn,smart_degen,trojan",
2026-04-23,8LUtQLSVoKewkXXHSsWJA9sio9cH7Q4hSfKVm5cRk7QY,0.547,107,1898,3127.6,0.022,248.39,0.0,"axiom,smart_degen",
2026-04-23,3kSUZ79VEfpy9Uw9sWnB1jG2GwmTQSCcn72NH57s1rCx,0.563,137,3241,24521.56,0.021,0.89,70.0,"fomo,padre,smart_degen",
2026-04-23,14LYvJoKPK9pCuNJqT6cJEaR1q3FNsfCtopbSXD8b8DM,0.534,18,2912,1766.47,0.033,2.3,398.0,"axiom,smart_degen",
2026-04-24,14LYvJoKPK9pCuNJqT6cJEaR1q3FNsfCtopbSXD8b8DM,0.539,19,2930,1749.4,0.032,2.44,399.0,"axiom,smart_degen",
2026-04-24,ARC5JvKVCcnitPgTmmqV9xc1FJUPB43AEWPU1iMdYM7k,0.502,249,4857,31482.96,0.079,12.64,163.0,"axiom,gmgn,padre,smart_degen",
2026-04-24,5fHJszey2UdB2nETS1y6NS2wSG4ic9byKtbgJzaYzGeV,0.455,744,4733,26456.37,0.069,8.12,423.0,"axiom,bullx,gmgn,smart_degen",
2026-04-24,DoboLsfYFqhiC7SrcdJ7Fogp7axnnf6spRpa21LBQT9Z,0.952,33,1553,19186.23,0.039,3.49,290.0,smart_degen,
2026-04-24,HiK8buhCxdD1JLKonZMp29TNpz4KD8M2gTSrxiva5JH9,0.549,276,643,15272.3,0.075,305.06,0.0,"axiom,photon,smart_degen",
2026-04-24,9U6tjPoXMxjWywUnpBjLy9LJ17gGXYVYXPPfDkf2pqy9,0.445,9,787,8541.37,0.057,27.52,25.0,smart_degen,
2026-04-24,2nHsHJpkXmHb43BqSjnQFMbUcU2kWEqFqoXsbe2zv2Wi,0.606,216,3063,22011.18,0.05,127.36,1.0,"axiom,padre,smart_degen",
2026-04-24,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd,0.396,24318,24697,58875.36,0.075,707.51,410.0,"axiom,bullx,gmgn,top_renamed,wash_trader",vibed333
2026-04-24,8hfoNZCd2bK9aqCBkhg8f2L1AoL7qfHwd9tMv7x64qui,0.989,169,5201,11381.47,0.041,3.26,412.0,smart_degen,
2026-04-24,GAEvKAnh3uVZg4UErwym2EzyJqwRoqsmaRKjJXgaM4GR,0.467,7,81,3824.58,0.098,0.99,413.0,smart_degen,
2026-04-24,8tUwW6UGBtjDAe7fLRsyMc2362v2oKPw6UHLPbyEcatF,0.321,58,1411,5298.19,0.028,49.6,56.0,"padre,smart_degen",
